id,modelId,description,category,topLevelSynsetId,subSynsetId
118462,e702f89ce87a0b6579368d1198f406e7,the table is round and has 3 legs. the table is rotating,Table,04379243,04379243
118461,b654fef8eb98e99d65ba78ad9601cf1b,"the chair is made of plastic and has 4 legs, it is black in colour",Chair,03001627,04331277
118460,df5b55da209637624b3c42e318f3affc,It is narrow console table.It is made from plywood.Its size is quite good to place anything on it.It is grey in colour.,Table,04379243,03092883
118459,791c14d53bd565f56ba14bfd91a75020,A simple chair with wooden back rest and seating rest.The whole frame of the chair is powder coated stainless steel.It is brown and grey in colour.,Chair,03001627,20000020
118458,6730f663d0e012506f525e79a05bbcb3,It is simple chiar with comfortable back rest and seating rest.The chair is  floating between two arches of tough stainless steel legs.,Chair,03001627,20000020
118457,35bcb52fea44850bb97ad864945165a1,It is folding wooden lounge chair.It is grey in colour.,Chair,03001627,03001627
118456,cd82d526e58e3e7f4fb85ea6fd426098,Classic design with contemporary style glass table.The base is steel coated legs.There is also a storage facility just below the top.The glass is attached through four bolts .,Table,04379243,04379243
118455,374bec02e71fe06528b4c5ec471dc963,"A stylish brown coloured chair, provided with perfect supporings at the bottom.",Chair,03001627,03001627
118454,836157300c030c9a246b9f2ca347e8e3,"A square shaped designery stylish table, with perfect supporting.",Table,04379243,03063968
118453,95039795fd8db944608244cbb9b86bf5,"A brown coloured chair with old look, useful for multi purposes.",Chair,03001627,20000022
118452,fb1e39667d83506a41dea5e6084523ee,"A circular whitish coloured table, provided with brown coloured three legs.",Table,04379243,04379243
118451,912c044ef5e129522c98a1adaac88b94,It is snooker table.It has four big bolt like legs with wheel.It is grey in colour.,Table,04379243,03982430
118450,791c14d53bd565f56ba14bfd91a75020,A brown coloured chair with silver coloured coatings at the outer part.,Chair,03001627,20000020
118449,26d98eed64a7f76318a93a45bf780820,"A triangular shaped chair with a set of supportings provided, comfortable for seating.",Chair,03001627,04331277
118448,73b369b9808bc2d0f6ba522682be8978,"A pink coloured stylish chair, useful for functional type.",Chair,03001627,20000026
118447,760b1ea228d6c2f6e785b88cc9024b2a,A black stylish table with round design provided at the centre of the table.,Table,04379243,04379243
118446,862f70e73fa70c9b1a719e2a845bdada,A double cushion chair.The back rest cushion is larger than the seating rest.It is an arm chair.It is purple in colour.,Chair,03001627,03001627
118445,495db04c204196ec47c638c0eee4a2b3,Panel Based three Cluster Workstation having three Nos. of semi-circular Shaped Workstation.It is blue and grey in colour.The base is of three legs,Table,04379243,03179701
118444,894e095c7036c8411933ffef19678834,A BROW ABD GRAY MATERIAL SQUARE WOODEN TABLE,Table,04379243,03179701
118443,1dffc3840500e89ab8e1b99345a5afd4,A CLEAR GLASS TOP AND GRAY WOODEN CENTER TABLE,Table,04379243,03116530
118442,b2c35c8b748491a1684b7bc3f8a9aa55,A BLACK AND DARK BROW LEATHER AND MATERIAL CHAIR,Chair,03001627,04331277
118441,9dc1371b6989479c9c0ca344f487323e,A BROWN SPOKES TWO ARM WOODEN ONE SEAT CHAIR,Chair,03001627,03001627
118440,668deaeb91295739664b3b9b23ddfcbc,A BROWN AND GRAY LEGS VERTICAL CENTER TABLE,Table,04379243,04379243
118439,c06a8f95fc273106b0f4a0d43d1e4c23,A GRAY AND MATERIAL AND MATERIALONE SEAT CHAIR,Chair,03001627,04331277
118438,8cfc69d79fca89223a4a5c95fa1b0032,"A stylish coloured chair, with red coloured seating provided, with good design.",Chair,03001627,20000022
118437,38d5b6ad3077e8b1caa22a10624245b6,A BROWN LOW WOODEN BOTTOM AND HIGHCENTER TABLE,Table,04379243,20000040
118436,a3a701905091355e96aaf875e27b02c9,"An ash coloured table with perfect base supporting, useful for multi purposes.",Table,04379243,04379243
118435,6131ecb5a6fc9329f51f77a6d7299806,a grey sofa seat with leather seat and wire rack type of material,Chair,03001627,20000027
118434,74ae50b70108ca1118775c05a821f9ab,"A light green coloured chair, useful for office purposes, provided with perfect supportings.",Chair,03001627,02738535
118433,2b110b833111b38c420adf24e49f74c8,A BROWN AND BROWN DOTTER CUSHING SEAT WOODEN CHAIR,Chair,03001627,03001627
118432,a13c36acbc45184de76bc197b3a3ffc0,a coffee table with round surface and round bottom brown in colour,Table,04379243,20000039
118431,f34a4514f72a3a767c11a4098d0a0259,an orange office chair with 5 leg base which has wheels,Chair,03001627,04373704
118430,485b69363fa53a5ec35131da26f8061a,a white table with 4 legs and rectangular top,Table,04379243,04379243
118429,fe31beab802cfc56c2bcda262700befe,"A stripped multi coloured chair with cream coloured seating, provided with four supportings at the bottom and two supportings for hands.",Chair,03001627,03001627
118428,b9908906f1e1f65b8e800d2aff155191,a metal chair with wire type of seat and back rest brown in colour,Chair,03001627,20000020
118427,1926843fb9da47ad8852b93498ca8c83,A BACK BARBAR SHOP SOFT AJUSTABLE CLOTH CHAIR,Chair,03001627,02738535
118426,52b667b2014bdf0482db9fca4b68095,"A stylish brown coloured chair, with blueish coloured seating material provided with curved structure.",Chair,03001627,02738535
118425,f36e83dff72cba53ba9ae5e8f97b3d4,A RED AND GRAY MATERIAL ONE SEAT THREE POINTS CHAIR,Chair,03001627,03001627
118424,d31b0d2a41051f2c7b79156a61ad4c01,"A black coloured table, useful for multi purposes, provided with four legs.",Table,04379243,20000041
118423,c15e74a91f0b59d533f68dc899e13f,"A rectangular ash coloured thin structured table, provided with stylish legs.",Table,04379243,04379243
118422,51b4537837adf046fec95a1eac04b338,AGREEN AND BROWN LEGS VELIT AND MATERIAL TABLE,Table,04379243,04381587
118421,768acb4029f2d682bfad749b583f6a07,a metal chair with a round seat and metal designed back rest,Chair,03001627,03001627
118420,2e666b458f1641f248cb96c78f6ddc11,"A brown coloured table, two attatched curved structures, provided with perfect supportings.",Table,04379243,04379243
118419,5e44499940fc3dbe57a847db7547c1f3,A RED AND TRIM SIDES AND LEG ROCK BACK CHAIR,Chair,03001627,03001627
118418,fad62f2339aefa8f9d86e5f05f1da2b7,a tall brown stool made of wood with a sqaure top,Table,04379243,04379243
118417,b6457c273fca48f8b5b7c35a8e7396f2,A BROWN FOUR LEGS SQUARE HARD WOODEN TABLE,Table,04379243,04379243
118416,2acd3a3e50e8e068fae61b8c1512b8af,A BROWN ONE SEAT CLOTH HIGH THIN BACK CHAIR,Chair,03001627,03001627
118415,c20a339e2983a462406281a1e760ea19,A GREEN VELIT AND WHITE SCRIPE GAME TABLE,Table,04379243,04381587
118414,933096cbd0f7ef0aa73562d75299fcd8,An ash coloured rectangular table with four supportings at the bottom.,Table,04379243,04379243
118413,a3f369c885720efc459b850e737e0048,"An ash coloured rectangular table, useful for multi purposes with a perfect design.",Table,04379243,04379243
118412,c6116173a1cffecaec9ff818c66c8a16,A BLACK FIVE POINT TOP SQUARE RACK IRON LEG TABLE,Table,04379243,04379243
118411,7eb842de7ad4cbad3e329950ec40f6dd,A wooden brown coloured chair with soft material provided at the seating.,Chair,03001627,03001627
118410,ff212e47775ea7fe6a3056c8cad72d81,A stylish multi coloured table with glass provided at the top for stylish look.,Table,04379243,04379243
118409,6b276165b6118e85ad312873b158ac49,A brown coloured wooden table with four stylish supportings provided at the bottom.,Table,04379243,04379243
118408,a91ee72daa437343d1f4e3beb8257c5a,A GREEN TOP AND BROWN TRIM IN BROWN LEG TABLE,Table,04379243,03982430
118407,831ca4306245810435836c728d324152,A white coloured chair with soft material provided for comfortable seating.,Chair,03001627,20000027
118406,dd35a3f0ba7c5f2e73ea70c16ec9e2b7,"A curved shaped stylish brown coloured table, with blue coloured design provided at the top.",Table,04379243,04379243
118405,452a33df06b678c6822b5ad61b22977a,A very perfect designery stylish table with stylish glass and colourful finish.,Table,04379243,03063968
118404,c472e242175ecc75dea0c7d7198f1b0c,A DARK AND LIGHT GRAY HARD WOODEN  SQUARE TABLE,Table,04379243,03179701
118403,bd6bc40b3327e5109501f2fa226917d0,A BROWN AND GRAY CRIS CROSS WOODEN ONE SEAT CHAIR,Chair,03001627,04331277
118402,75f9ad7ded87bffe1bb088904f7cb154,A GRAY BOX SHEF WOODEN TWO SHEF VERTICAL TABLE,Table,04379243,03092883
118401,f252711946bff75aa5234533e6540c01,A BROWN AND GRAY SQUARE MATERIAL TRIM SIDE TABLE,Table,04379243,04379243
118400,929cefd882de6f9b5048ab7650c7a7c,A brown table with four V shaped legs.There are some designs.,Table,04379243,03063968
118399,367284cdf79742334305d9043f82a6a0,A GREEN TOP VELIT AND BROWN WOODEN SIDE TABLE,Table,04379243,03982430
118398,1d498876c8890f7786470a1318504fef,A BLACK AND GRAY HIGH VELIT CLOTH FOUR LEGS CHAIR,Chair,03001627,02738535
118397,9b042d709402eb968dd711af5650bdcf,A two layered table with grey color. It has mirror like appearance.,Table,04379243,03063968
118396,cb48a015b203b3084acc8059dcf0a054,A piano shaped table with brown and grey color.,Table,04379243,03179701
118395,d868b5e696c362b9ae23680cee12f145,A  DARK PINK AND LIGHT PINK WOODEN SPOKES CHAIR,Chair,03001627,20000027
118394,229af4d0700b3fab29f2e5c9212b176c,A BROWN WOODEN DESK VERTICAL WOODEN TABLE,Table,04379243,03179701
118393,f183fd6b062f642b5fceaa39a8353bde,A brown head shaped table which is brown color with grey legs.,Table,04379243,04379243
118392,c7b8f5ba396c07331eb51344489c49f3,"blue and black, long square shape, wooden and glass , showcase model",Table,04379243,20000040
118391,9144c2c7b7d9f733ad484915511ccff6,A GRAY AND BLACK AND BLUE MATERIAL LEG AND ARM CHAIR,Chair,03001627,20000020
118390,df1b280b7763abde3002761e7a3ba3bd,A machine like table which is grey in color.,Table,04379243,04603729
118389,2d3cb79ce06eba3c7550d396f1a3a8e1,"brown, Long square table, wooden, park and tea shop",Table,04379243,03620967
118388,17883ea5a837f5731250f48219951972,"White, S shape , wooden , office use and hotel",Chair,03001627,03001627
118387,247353514479969ce6fe3612af521500,"white and red , short size sofa model, steal and cloth, office use",Chair,03001627,20000027
118386,e27d9fece990d39a0f23466c3c25e2e,A brown wooden table with two broad legs. The top portion is grey in color.,Table,04379243,03179701
118385,9a91a491a9e74ab132c074e5313866f2,A GRAY AND BLACK BACK LEATHER MATERIAL CHAIR,Chair,03001627,02738535
118384,8979c1aaa6675009bf80985a99195eb8,"white and green, H shape model, wooden material, home and hotel use",Chair,03001627,03001627
118383,c2c36909e461e10adaaaeef365d8f6e5,"brown, square, wooden , home and hotel model",Table,04379243,04379243
118382,46743849f0b01b1ca72559fc4f86f700,"Red chair with only two legs in inverted T shape, and with a curved design in the section that touches the floor, has armrests that are attached to the legs of the chair",Chair,03001627,03001627
118381,e4b40369894a16ce6821a1e68ba5ebab,A cushioned chair which is grey in color. The legs are small.,Chair,03001627,03001627
118380,91be45a6b74f2fa283b00891f680579,"black , S shape model, steal and plastic model, office use",Chair,03001627,04331277
118379,3612bf5942858c5976ccfcabdd2d6349,A GRAY AND BLACK SLED LAY BACK TWO ARM CHAIR,Chair,03001627,03001627
118378,5c1c5dd72247cb6526428c7519676cd8,"white and black, L shape model, steal and wooden , home  dinner model",Chair,03001627,03001627
118377,cb242dc225308003de21d22522bdaf,A tow layered table which made of wood. The legs are small.,Table,04379243,04379243
118376,8aaca7e2c1b0ec549eea323f522c6486,"Rectangular wooden table with one of the long edges with curved shape, has four thin legs joined by a long bar on the legs that are under the curved part of the table and two small bars on each side of the legs Sides",Table,04379243,03620967
118375,a1da0c1db8220563b6b0dd2a0b939a74,"white and yellow, square shape, wooden and glass ,steal, double step model, home and use",Table,04379243,03063968
118374,46743849f0b01b1ca72559fc4f86f700,A RED ALL OVER TIN HIGH LEGS ONE SEAT CHAIR,Chair,03001627,03001627
118373,252fa50674207d749eb332cd2d2a300,"blue and black model, square model, wooden material, dinner table , home use model,",Table,04379243,20000037
118372,311c07b96ce39f82c70d3fe6f2ca143f,A BLACK SQUARE LOW CLOTH FOUR SHOT LEG CHAIR,Chair,03001627,02738535
118371,7257fc99c253994c6fd6654fda9ac5f0,a white square table with four legs that curve out from the base,Table,04379243,04379243
118370,e3e1d9e88b396e6b8cae28243a4ae130,"white and red , square model ,wooden type, home and office dinner table",Table,04379243,04379243
118369,184c07776b38d92e35836c728d324152,"a desk chair with black padding, arm rests, and metal base",Chair,03001627,20000020
118368,7ee5785d8695cf0ee7c7920f6a65a54d,A BLACK SOFT SEAT CUSHING HIGH BACK COTH CHAIR,Chair,03001627,20000027
118367,bdd57499bf64fab6bf80985a99195eb8,"white colour,H shape model, plastic model , home use dinner model",Chair,03001627,03001627
118366,2bac94c17bb341d84ab0e621f58e2d20,"Hexagonal table of red color in the upper part and of black color in the legs, only has two legs",Table,04379243,03092883
118365,589e717feb809e7c1c5a16cc04345597,An office chair with swivel wheels and arm rests,Chair,03001627,04373704
118364,a7fc36d1b5d29280ad484915511ccff6,"A chair which is made of wood, used in home.",Chair,03001627,04373704
118363,90992c45f7b2ee7d71a48b5339c6e0da,"brown, square, wooden material, tea table ,hotel use",Table,04379243,20000037
118362,c736eb1545f8b7b4ed403132b02528bd,"Two tables of gray color, of rectangular form, alienated by the narrower side of the tables, each table has only two legs",Table,04379243,03063968
118361,f7ce798a5ea0850c4b3c42e318f3affc,a side table with x shaped legs and a paneled top,Table,04379243,04379243
118360,31ab0936f07c21ba7b11ae648ea92233,A DARK RED CUSHING CHAIR AND BROWN ARM WOODEN LEGS,Chair,03001627,02738535
118359,5ec15b09dedf4dfe961b3f02493c4f73,a long rectangular white table with gray curved legs,Table,04379243,04379243
118358,60790035c8126a677645b4fdaedbc34,"Folding wooden chair, the legs form an X and are curved, the back has eight holes and the seat has 4 holes",Chair,03001627,03649674
118357,55bc1f325928f28c738dd0d3509c7e47,an armchair with taupe cushions and a contemporary wooden structure,Chair,03001627,20000027
118356,8551281fe6e37db43002761e7a3ba3bd,AWHITE TOP AND WHITE AND GRAY LEG VERTICAL TABLE,Table,04379243,04603729
118354,5431993203dfcf797ec12e029bc725db,"Glass table, turquoise blue, legs are thick at the union of the table and thin where they touch the floor, the table is rectangular",Table,04379243,04379243
118355,25bff1399600790bc3bd24f986301745,A white oval table with wooden supports and a shelf underneath,Table,04379243,20000040
118353,2bc602c2b7d9a622ee05b1e9462446d8,A rectangular table which is brown and grey color.,Table,04379243,03063968
118352,1096b4a30bd7717c4733824eae5cd9ae,A grey and brown short table with metal rod legs and a abstract shaped top,Table,04379243,03063968
118351,e896f38e6b62f25ce030e064f3b8af2b,A GOLD CUP LARGE LEATHER AND SMALL GOLD CHAIR,Chair,03001627,20000015
118350,3565f5bce51b333e9b19181a19104021,Green pool table inside a room with red floor and a zebra fur rug.,Table,04379243,04379243
118349,b51e2ec95cb6ae33999b33727fe6db14,"Chair with wooden legs and design on the back and seat in white background and random squares of red, yellow and coffee color",Chair,03001627,04331277
118348,5ce323f8499cf60ce51e3cd2b72fbf02,"brown, X shape model, wooden, and easy chair, home use model",Chair,03001627,03001627
118347,69689176b53be82df51f77a6d7299806,"black , square , wooden, tea shop and hotel use dinner table",Table,04379243,04379243
118346,541ba3fe085905e19ccce4c6d5bb195f,"black and brown, square and type , double step model, wooden and stone material, home use",Table,04379243,03063968
118345,fb32e9a7a8c2dfad74eb542502c2205f,A BROWN BOX DESK SQUARE HARD WOODEN TABLE,Table,04379243,04379243
118344,ad17445446e4fd3adcfcef693e7ec696,A two layered table with blue layers and four grey legs.,Table,04379243,04379243
